"Cement","Blast.Furnace.Slag","Fly.Ash","Water","Superplasticizer","Coarse.Aggregate","Fine.Aggregate","Age","Strength"
389.9,189,0,145.9,22,944.7,755.8,28,74.5
380,0,0,228,0,932,670,365,52.52
475,0,0,228,0,932,594,270,42.13
342,38,0,228,0,932,670,365,56.14
190.3,0,125.2,161.9,9.9,1088.1,802.6,100,40.39
323.7,282.8,0,183.8,10.3,942.7,659.9,56,80.2
222.4,0,96.7,189.3,4.5,967.1,870.3,28,24.89
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,67.7
190,190,0,228,0,932,670,365,53.69
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,72.99
389.9,189,0,145.9,22,944.7,755.8,56,79.4
229.7,0,118.2,195.2,6.1,1028.1,757.6,100,40.86
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
139.6,209.4,0,192,0,1047,806.9,360,44.7
469,117.2,0,137.8,32.2,852.1,840.5,28,66.9
318.8,212.5,0,155.7,14.3,852.1,880.4,7,33.4
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
190.7,0,125.4,162.1,7.8,1090,804,14,21.06
323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.8
427.5,47.5,0,228,0,932,594,7,35.08
230,0,118.3,195.5,4.6,1029.4,758.6,100,35.34
229.7,0,118.2,195.2,6.1,1028.1,757.6,28,24.54
337.9,189,0,174.9,9.5,944.7,755.8,56,59.89
401.8,94.7,0,147.4,11.4,946.8,852.1,7,54.1
401.8,94.7,0,147.4,11.4,946.8,852.1,28,68.5
230,0,118.3,195.5,4.6,1029.4,758.6,3,10.03
212.1,0,121.6,180.3,5.7,1057.6,779.3,56,34.2
139.6,209.4,0,192,0,1047,806.9,28,28.24
389.9,189,0,145.9,22,944.7,755.8,7,59.09
374,189.2,0,170.1,10.1,926.1,756.7,3,34.4
310,0,0,192,0,971,850.6,3,9.87
238.1,0,94.1,186.7,7,949.9,847,3,19.93
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
190.3,0,125.2,161.9,9.9,1088.1,802.6,56,38.56
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
286.3,200.9,0,144.7,11.2,1004.6,803.7,91,76.8
475,0,0,228,0,932,594,90,42.23
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
212.1,0,121.6,180.3,5.7,1057.6,779.3,100,39.61
337.9,189,0,174.9,9.5,944.7,755.8,28,49.9
337.9,189,0,174.9,9.5,944.7,755.8,3,24.1
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
439,177,0,186,11.1,884.9,707.9,7,56.1
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39
362.6,189,0,164.9,11.6,944.7,755.8,7,22.9
230,0,118.3,195.5,4.6,1029.4,758.6,56,31.54
198.6,132.4,0,192,0,978.4,825.5,3,9.13
332.5,142.5,0,228,0,932,594,180,39.78
332.5,142.5,0,228,0,932,594,90,37.72
469,117.2,0,137.8,32.2,852.1,840.5,91,70.7
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
233.8,0,94.6,197.9,4.6,947,852.2,28,22.84
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
166.1,0,163.3,176.5,4.5,1058.6,780.1,56,28.63
233.8,0,94.6,197.9,4.6,947,852.2,3,10.38
427.5,47.5,0,228,0,932,594,180,41.84
194.7,0,100.5,165.6,7.5,1006.4,905.9,28,25.72
313.3,262.2,0,175.5,8.6,1046.9,611.8,7,42.8
304,76,0,228,0,932,670,180,50.95
198.6,132.4,0,192,0,978.4,825.5,90,38.07
427.5,47.5,0,228,0,932,594,365,43.7
323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.3
230,0,118.3,195.5,4.6,1029.4,758.6,14,20.08
237.5,237.5,0,228,0,932,594,28,30.08
427.5,47.5,0,228,0,932,594,28,37.43
318.8,212.5,0,155.7,14.3,852.1,880.4,28,55.5
194.7,0,100.5,165.6,7.5,1006.4,905.9,3,12.45
318.8,212.5,0,155.7,14.3,852.1,880.4,56,66.1
469,117.2,0,137.8,32.2,852.1,840.5,56,69.3
237.5,237.5,0,228,0,932,594,270,38.41
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
168,42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24
238.1,0,94.1,186.7,7,949.9,847,100,44.3
401.8,94.7,0,147.4,11.4,946.8,852.1,3,41.1
332.5,142.5,0,228,0,932,594,365,41.05
229.7,0,118.2,195.2,6.1,1028.1,757.6,56,31.35
388.6,97.1,0,157.9,12.1,852.1,925.7,91,57.6
213.8,98.1,24.5,181.7,6.7,1066,785.5,14,17.84
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
237.5,237.5,0,228,0,932,594,365,39
531.3,0,0,141.8,28.2,852.1,893.7,56,58.8
230,0,118.3,195.5,4.6,1029.4,758.6,28,24.48
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,53.9
313.3,262.2,0,175.5,8.6,1046.9,611.8,91,66.6
374,189.2,0,170.1,10.1,926.1,756.7,91,64.9
213.8,98.1,24.5,181.7,6.7,1066,785.5,100,49.97
379.5,151.2,0,153.9,15.9,1134.3,605,3,28.6
190.3,0,125.2,161.9,9.9,1088.1,802.6,14,22.72
198.6,132.4,0,192,0,978.4,825.5,360,44.3
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
475,118.8,0,181.1,8.9,852.1,781.5,28,68.3
401.8,94.7,0,147.4,11.4,946.8,852.1,91,75.5
139.6,209.4,0,192,0,1047,806.9,180,44.21
233.8,0,94.6,197.9,4.6,947,852.2,100,34.56
139.6,209.4,0,192,0,1047,806.9,7,14.59
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
425,106.3,0,151.4,18.6,936,803.7,56,64.9
286.3,200.9,0,144.7,11.2,1004.6,803.7,3,24.4
222.4,0,96.7,189.3,4.5,967.1,870.3,100,40.71
374,189.2,0,170.1,10.1,926.1,756.7,28,61.09
375,93.8,0,126.6,23.4,852.1,992.6,3,29
425,106.3,0,151.4,18.6,936,803.7,3,36.3
380,95,0,228,0,932,594,90,40.56
229.7,0,118.2,195.2,6.1,1028.1,757.6,14,22.32
229.7,0,118.2,195.2,6.1,1028.1,757.6,3,13.36
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
389.9,189,0,145.9,22,944.7,755.8,3,40.6
212.1,0,121.6,180.3,5.7,1057.6,779.3,14,20.92
194.7,0,100.5,165.6,7.5,1006.4,905.9,14,24.99
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
380,0,0,228,0,932,670,270,53.3
190.7,0,125.4,162.1,7.8,1090,804,100,40.57
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,28.8
166.1,0,163.3,176.5,4.5,1058.6,780.1,3,10.76
531.3,0,0,141.8,28.2,852.1,893.7,3,41.3
168,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75
379.5,151.2,0,153.9,15.9,1134.3,605,7,47.1
375,93.8,0,126.6,23.4,852.1,992.6,28,56.7
337.9,189,0,174.9,9.5,944.7,755.8,91,67.8
166.1,0,163.3,176.5,4.5,1058.6,780.1,100,33.54
475,0,0,228,0,932,594,180,42.62
250,0,95.7,187.4,5.5,956.9,861.2,3,13.82
198.6,132.4,0,192,0,978.4,825.5,180,41.72
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
168,42.1,163.8,121.8,5.7,1058.7,780.1,56,32.85
318.8,212.5,0,155.7,14.3,852.1,880.4,3,25.2
380,95,0,228,0,932,594,7,32.82
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
485,0,0,146,0,1120,800,28,71.99
190.3,0,125.2,161.9,9.9,1088.1,802.6,28,28.47
266,114,0,228,0,932,670,90,47.03
304,76,0,228,0,932,670,90,49.19
388.6,97.1,0,157.9,12.1,852.1,925.7,3,28.1
342,38,0,228,0,932,670,180,52.12
323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.7
237.5,237.5,0,228,0,932,594,180,36.25
166.1,0,163.3,176.5,4.5,1058.6,780.1,28,21.54
198.6,132.4,0,192,0,978.4,825.5,7,14.64
374,189.2,0,170.1,10.1,926.1,756.7,7,46.2
